"scope","outcome","usable_n","pilot_F","pilot_p","pilot_eta_p2","pilot_f","required_n_80","required_n_90"
"PI","Interaction",8,1.3436754176611,0.287126916913096,0.161041189931351,0.438125131776806,23,30
"PI","Trust",8,2.08258706467662,0.133105477314451,0.229294478527607,0.545447007335218,15,20
"Ensemble","Interaction",8,0.700070929172157,0.562490722137513,0.0909174649963156,0.316243786877908,53,69
"Ensemble","Trust",8,0.659354838709677,0.586181905016824,0.0860849056603774,0.30690967463913,46,58
"PI + Ensemble","Interaction",9,0.774002954209748,0.519941621701991,0.0882154882154881,0.311047213902035,48,63
"PI + Ensemble","Trust",9,1.13241194828354,0.355845616143671,0.123999218902558,0.376233296686302,37,49
"Combined","Interaction",25,1.2788199619674,0.288167956856232,0.0505885940835615,0.230833630742955,75,96
"Combined","Trust",25,1.06867138933063,0.367861695373858,0.0426297577854668,0.211016526735331,90,115
