condition_number,condition_label,trust_mean,trust_sd,interaction_mean,interaction_sd,n,trust_se,interaction_se
2.0,CI,5.2414,0.9125,3.7944,0.5604,87,0.0978,0.0601
3.0,2 Lines,5.1092,0.7825,3.8391,0.3781,87,0.0839,0.0405
4.0,3 Lines,5.158,0.6527,3.8174,0.3896,87,0.07,0.0418
5.0,4 Lines,4.9483,0.6932,3.7791,0.3755,87,0.0743,0.0403
6.0,5 Lines,4.908,0.6827,3.7778,0.3971,87,0.0732,0.0426
7.0,6 Lines,5.2069,0.5646,3.8723,0.3425,87,0.0605,0.0367
8.0,7 Lines,5.092,0.6782,3.8365,0.3772,87,0.0727,0.0404
9.0,8 Lines,4.9799,0.6787,3.7701,0.265,87,0.0728,0.0284
10.0,9 Lines,5.092,0.7331,3.7573,0.4683,87,0.0786,0.0502
